timestamp,index,name,memory.used [MiB],memory.total [MiB],utilization.gpu [%],utilization.memory [%]
2026/05/13 21:34:27.217, 0, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:27.223, 1, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:32.226, 0, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:32.228, 1, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:37.230, 0, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:37.232, 1, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:42.233, 0, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:42.235, 1, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:47.237, 0, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:47.238, 1, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:52.241, 0, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:52.242, 1, NVIDIA A100-SXM4-80GB, 75793, 81920, 0, 0
2026/05/13 21:34:57.244, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:34:57.246, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:35:02.247, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:02.249, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:07.251, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:07.253, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:12.254, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:12.256, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:17.258, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:17.260, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:22.263, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:22.264, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:27.266, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:27.268, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:32.269, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:32.271, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:37.272, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:37.274, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:42.276, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:42.279, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:47.281, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:47.283, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:52.287, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:52.288, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:57.289, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:35:57.291, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:02.292, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:02.294, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:07.296, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:07.297, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:12.298, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:12.301, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:17.302, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:17.304, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:22.305, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:22.307, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:27.308, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:27.309, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:32.311, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:32.313, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:37.316, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:37.318, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:42.319, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:36:42.321, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
