I0621 23:30:08.692745       1 serving.go:380] Generated self-signed cert (/tmp/apiserver.crt, /tmp/apiserver.key)
I0621 23:30:08.886719       1 handler.go:288] Adding GroupVersion metrics.k8s.io v1beta1 to ResourceManager
I0621 23:30:08.991515       1 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
I0621 23:30:08.991545       1 shared_informer.go:350] "Waiting for caches to sync" controller="RequestHeaderAuthRequestController"
I0621 23:30:08.991572       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0621 23:30:08.991578       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0621 23:30:08.991586       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
I0621 23:30:08.991591       1 shared_informer.go:350] "Waiting for caches to sync" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
I0621 23:30:08.992516       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/tmp/apiserver.crt::/tmp/apiserver.key"
I0621 23:30:08.992847       1 secure_serving.go:211] Serving securely on [::]:10250
I0621 23:30:08.992876       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
E0621 23:30:08.994550       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.18.0.2:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 172.18.0.2 because it doesn't contain any IP SANs" node="desktop-control-plane"
E0621 23:30:08.999375       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.18.0.3:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 172.18.0.3 because it doesn't contain any IP SANs" node="desktop-worker2"
E0621 23:30:09.011184       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.18.0.4:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 172.18.0.4 because it doesn't contain any IP SANs" node="desktop-worker"
I0621 23:30:09.096856       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
I0621 23:30:09.096895       1 shared_informer.go:357] "Caches are synced" controller="RequestHeaderAuthRequestController"
I0621 23:30:09.096956       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
E0621 23:30:24.008543       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.18.0.3:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 172.18.0.3 because it doesn't contain any IP SANs" node="desktop-worker2"
