case_id,scenario,mode,sequence,http_status_code,service_status,succeeded,submit_latency_seconds,end_to_end_latency_seconds,model_latency_seconds,input_tokens,output_tokens,total_tokens,tokens_per_second,route,primary_attempts,fallback_thinking_budget,request_id,model_name,backend,error_type,error_message
customer_service_001,customer_service,jobs,1,200,succeeded,True,0.03546816692687571,0.14980787504464388,0.003021,4,4,8,1324.0641,primary,1,,9c25d80429e144368727e5e3683e6de0,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_002,customer_service,jobs,2,200,succeeded,True,0.003198124933987856,0.11830895789898932,0.002311,4,4,8,1730.859,primary,1,,98ce3deae0ab4776a70f75a43d3f2065,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_003,customer_service,jobs,3,200,succeeded,True,0.005082417046651244,0.12929287506267428,0.004317,4,4,8,926.5085,primary,1,,8955d32dd1c6413bace7b3a2b1d63216,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_004,customer_service,jobs,4,200,succeeded,True,0.005322207929566503,0.11458625015802681,0.002298,4,4,8,1740.9169,primary,1,,f92ee162c04f4231beb52613831dbbde,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_005,customer_service,jobs,5,200,succeeded,True,0.002878167200833559,0.11355679109692574,0.001782,4,4,8,2244.4436,primary,1,,b10dc9d827c0420eaefa47a8ea4de9e5,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_006,customer_service,jobs,6,200,succeeded,True,0.0038253329694271088,0.1165555000770837,0.002493,4,4,8,1604.2471,primary,1,,f23c3a93a7be4652bec3ce969951daf0,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_007,customer_service,jobs,7,200,succeeded,True,0.004255083156749606,0.11502504185773432,0.00307,4,4,8,1302.7812,primary,1,,593b33abb2e24c8e871350cd4a3c9813,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_008,customer_service,jobs,8,200,succeeded,True,0.0033102920278906822,0.11780895804986358,0.002544,4,4,8,1572.52,primary,1,,c9d74363b0674d7cb508f3ae0fafe7e0,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_009,customer_service,jobs,9,200,succeeded,True,0.003307791892439127,0.11630545812658966,0.003312,4,4,8,1207.8629,primary,1,,ce4186adec4e474f99261458e2932b7d,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_010,customer_service,jobs,10,200,succeeded,True,0.005601749988272786,0.010870708851143718,0.002445,4,4,8,1636.1631,primary,1,,5944435da76543c6aea2070b014416c8,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_011,customer_service,jobs,11,200,succeeded,True,0.0024727501440793276,0.14439333300106227,0.002044,4,4,8,1956.7548,primary,1,,e5bfd1e3b37d499f84f537daf1393680,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
customer_service_012,customer_service,jobs,12,200,succeeded,True,0.007855375064536929,0.1185078751295805,0.002279,4,4,8,1755.1225,primary,1,,212c6cc8708a4bfdafaf2680636ce12f,Seed-OSS-36B-Instruct-W8A8-Primary,vllm,,
