timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782125817.153374,4.945,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125817.260084,2.007,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125817.362329,3.176,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125817.466274,3.611,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125817.572921,2.912,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125817.676078,4.029,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125817.781541,4.525,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125817.889071,3.760,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125817.993048,4.218,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125818.098480,2.822,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125818.204073,4.912,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125818.311211,4.029,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125818.417290,5.239,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125818.524615,4.916,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125818.630348,4.445,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125818.738352,16.210,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125818.855174,2.430,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125818.959199,3.445,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125819.063049,4.266,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125819.170147,5.714,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125819.277590,5.090,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125819.384060,4.967,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125819.490230,5.966,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125819.597305,5.816,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125819.703541,5.284,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125819.810427,5.361,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125819.918732,6.179,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125820.028394,5.588,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.135307,4.488,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.241124,5.313,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.347244,4.653,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125820.454356,5.343,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.560209,8.170,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.669495,4.887,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.775225,4.088,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125820.880247,4.874,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125820.986729,5.149,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125821.093849,5.270,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125821.200217,5.200,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125821.306069,3.267,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125821.410240,5.049,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125821.516492,4.722,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125821.624274,4.740,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125821.730765,5.362,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125821.838830,5.872,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125821.945087,0.719,0,,,<urlopen error [Errno 111] Connection refused>
1782125822.046083,1.540,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.149858,1.487,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.252126,1.799,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.355250,2.464,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.458090,2.873,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.561275,1.536,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125822.664866,1.610,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.767198,3.531,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.872596,5.381,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125822.979436,4.300,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125823.085333,2.737,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125823.188264,4.858,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125823.296263,3.637,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125823.400542,4.387,1,200,inference-gateway-78cbd9f4cc-bf52k,
