timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782128366.715376,4.357,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128366.821743,1.947,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128366.924261,1.571,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128367.029774,4.586,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128367.135855,4.778,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128367.241726,6.366,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128367.349569,63.672,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128367.514138,4.683,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128367.619671,4.564,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128367.725411,6.267,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128367.833833,5.214,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128367.940267,2.833,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.044374,3.541,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.149286,3.504,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.254686,4.761,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128368.360581,3.128,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.464074,5.670,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.571154,5.528,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.678366,4.765,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128368.784406,5.040,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128368.891802,4.586,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128369.000649,4.815,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128369.106729,5.769,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128369.213155,6.642,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128369.322185,3.584,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128369.426081,4.054,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128369.531151,5.491,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128369.637056,5.609,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128369.743087,3.590,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128369.847109,5.451,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128369.954225,4.978,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128370.060968,5.283,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128370.167179,3.807,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128370.272335,2.418,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128370.376156,3.646,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128370.488413,4.180,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128370.595098,4.251,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128370.702909,4.241,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128370.810102,5.338,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128370.916205,5.296,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128371.021989,4.315,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128371.128077,4.410,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128371.233206,5.332,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128371.338933,5.621,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128371.445156,3.965,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128371.549905,1.614,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128371.652090,2.124,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128371.756379,3.929,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128371.861319,5.301,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128371.966965,5.232,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128372.073167,5.120,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128372.179518,5.312,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128372.287325,4.467,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128372.392012,4.905,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128372.498028,5.747,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128372.609799,4.748,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128372.717933,4.684,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128372.823209,4.025,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128372.928363,4.968,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128373.034338,5.045,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.140965,4.627,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.246868,4.886,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.354903,5.773,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128373.461809,5.129,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.572545,4.338,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.682968,5.024,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.788217,4.923,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.894089,4.473,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128373.998905,4.871,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128374.106017,4.568,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128374.212154,4.327,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128374.317628,4.870,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128374.423144,3.547,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128374.527745,4.676,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128374.636063,3.953,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128374.741110,3.676,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128374.846270,4.291,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128374.950992,3.802,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128375.058632,4.303,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.164109,4.487,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.272600,7.851,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.381138,4.670,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.487675,5.270,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128375.593744,5.151,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.699198,5.479,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128375.805845,4.275,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128375.912638,4.186,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.018504,4.965,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128376.124473,4.603,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.231096,5.100,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.337137,5.570,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.443190,5.059,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.549098,4.018,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.653941,3.350,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128376.759405,1.820,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128376.862162,2.303,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128376.966518,6.737,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128377.074008,2.342,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.177144,1.455,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128377.278953,2.231,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.383398,1.407,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.487145,2.028,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128377.590087,3.316,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.694116,5.237,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128377.801076,5.536,1,200,inference-gateway-78cbd9f4cc-p6prt,
