timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782128489.427147,4.554,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128489.537108,8.564,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128489.646141,1.774,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128489.748889,3.536,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128489.854363,4.326,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128489.960725,5.032,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128490.071649,5.008,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128490.178439,7.190,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128490.287447,3.778,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128490.392191,6.056,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128490.499577,6.372,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128490.607328,3.407,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128490.710917,4.805,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128490.816049,5.295,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128490.922295,5.597,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128491.030382,4.233,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128491.135823,3.469,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128491.239980,3.702,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128491.344085,5.665,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128491.451318,7.186,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128491.559984,5.009,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128491.665814,5.334,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128491.776964,5.436,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128491.884055,5.972,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128491.990999,5.424,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128492.097139,7.344,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128492.207179,5.295,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128492.313385,4.931,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128492.422313,5.456,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128492.531008,6.275,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128492.638155,5.475,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128492.744027,2.473,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128492.847130,8.650,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128492.956989,5.516,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128493.065199,6.115,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128493.173683,5.511,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128493.280353,5.049,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128493.386088,4.686,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128493.492217,5.009,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128493.597456,3.326,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128493.702092,5.163,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128493.808133,5.389,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128493.914805,6.208,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128494.025650,3.745,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128494.130700,4.315,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128494.235893,2.263,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128494.339066,1.366,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128494.440989,2.572,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128494.544037,2.295,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128494.650615,2.433,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128494.754655,3.414,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128494.859279,2.856,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128494.964729,2.962,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128495.068462,3.601,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128495.172229,3.816,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128495.279355,4.573,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128495.384083,3.875,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128495.489678,5.507,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128495.595945,3.822,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128495.704170,6.939,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128495.812023,5.332,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128495.918285,4.147,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128496.023000,6.529,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128496.130131,6.462,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128496.237848,5.138,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128496.346018,5.384,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128496.452604,5.453,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128496.561585,4.492,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128496.667746,5.582,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128496.773884,4.704,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128496.879292,4.419,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128496.987891,5.337,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128497.094201,5.572,1,200,inference-gateway-78cbd9f4cc-bf52k,
