timestamp_unix,latency_ms,ok,http_status,instance,error
1782084190.554152,13.651,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084190.655783,1.554,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084190.760512,3.923,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084190.864143,5.229,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084190.966562,6.383,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084191.067935,3.011,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084191.168637,2.445,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084191.270375,2.448,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084191.374339,2.356,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084191.476086,2.147,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084191.578101,3.713,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084191.682326,3.549,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084191.782807,3.477,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084191.884322,3.525,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084191.985834,4.238,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084192.089360,3.107,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084192.190866,4.641,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084192.294874,3.112,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084192.396046,3.120,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084192.496765,1.280,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084192.598330,2.570,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084192.698876,4.206,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084192.800267,4.014,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084192.901057,2.957,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084193.002244,3.098,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084193.103157,3.488,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084193.204850,3.184,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084193.305930,4.534,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084193.408963,19.520,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084193.552167,18.730,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084193.652929,1.803,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084193.754238,2.407,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084193.855001,4.288,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084193.955681,3.107,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084194.056909,4.302,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084194.157929,4.600,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084194.262047,4.346,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084194.362707,4.752,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084194.463823,1.259,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084194.564731,1.690,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084194.665761,2.760,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084194.766859,3.480,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084194.867071,1.708,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084194.968531,3.272,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.069810,3.008,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.170827,4.280,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084195.271793,4.741,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.371929,2.603,1,200,inference-gateway-78cbd9f4cc-jfshj,
1782084195.473918,3.391,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.574822,1.555,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.675733,2.091,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.776819,1.849,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.877833,3.119,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084195.978932,5.129,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.079626,1.218,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.180705,1.016,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.281902,0.991,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.382881,1.059,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.483876,1.181,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.584935,1.083,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.685609,1.226,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084196.787652,1.026,1,200,inference-gateway-78cbd9f4cc-6tmfp,
